collision_group,case_id,source_split,source_dataset,dimension_tuple,distinct_geometries_in_group
503,v43_tr_n5_radial_plus__high_high,train,v43_structure,1|3.5|5|31|2.5|2409.13|0.0405195,3
503,v43_va_n5_anchor__high_high,val,v43_structure,1|3.5|5|31|2.5|2409.13|0.0405195,3
519,v43_tr_n5_width_minus__center,train,v43_structure,0.97|3.5|5|31|2.5|1758.995|0.017931,2
519,v43_tr_n5_height_minus__center,train,v43_structure,0.97|3.5|5|31|2.5|1758.995|0.017931,2
520,v43_tr_n5_width_minus__low_low,train,v43_structure,0.97|3.5|5|31|2.5|1141.205|0.0073285,2
520,v43_tr_n5_height_minus__low_low,train,v43_structure,0.97|3.5|5|31|2.5|1141.205|0.0073285,2
521,v43_tr_n5_width_minus__high_low,train,v43_structure,0.97|3.5|5|31|2.5|2409.13|0.0073285,2
521,v43_tr_n5_height_minus__high_low,train,v43_structure,0.97|3.5|5|31|2.5|2409.13|0.0073285,2
522,v43_tr_n5_width_minus__low_high,train,v43_structure,0.97|3.5|5|31|2.5|1141.205|0.0405195,2
522,v43_tr_n5_height_minus__low_high,train,v43_structure,0.97|3.5|5|31|2.5|1141.205|0.0405195,2
523,v43_tr_n5_width_minus__high_high,train,v43_structure,0.97|3.5|5|31|2.5|2409.13|0.0405195,2
523,v43_tr_n5_height_minus__high_high,train,v43_structure,0.97|3.5|5|31|2.5|2409.13|0.0405195,2
524,v43_tr_n5_width_plus__center,train,v43_structure,1.03|3.5|5|31|2.5|1758.995|0.017931,2
524,v43_tr_n5_height_plus__center,train,v43_structure,1.03|3.5|5|31|2.5|1758.995|0.017931,2
525,v43_tr_n5_width_plus__low_low,train,v43_structure,1.03|3.5|5|31|2.5|1141.205|0.0073285,2
525,v43_tr_n5_height_plus__low_low,train,v43_structure,1.03|3.5|5|31|2.5|1141.205|0.0073285,2
526,v43_tr_n5_width_plus__high_low,train,v43_structure,1.03|3.5|5|31|2.5|2409.13|0.0073285,2
526,v43_tr_n5_height_plus__high_low,train,v43_structure,1.03|3.5|5|31|2.5|2409.13|0.0073285,2
527,v43_tr_n5_width_plus__low_high,train,v43_structure,1.03|3.5|5|31|2.5|1141.205|0.0405195,2
527,v43_tr_n5_height_plus__low_high,train,v43_structure,1.03|3.5|5|31|2.5|1141.205|0.0405195,2
528,v43_tr_n5_width_plus__high_high,train,v43_structure,1.03|3.5|5|31|2.5|2409.13|0.0405195,2
528,v43_tr_n5_height_plus__high_high,train,v43_structure,1.03|3.5|5|31|2.5|2409.13|0.0405195,2
539,v43_tr_n6_anchor_a__center,train,v43_structure,1|3.5|6|29.9|2.5|1758.995|0.017931,3
539,v43_tr_n6_radial_minus__center,train,v43_structure,1|3.5|6|29.9|2.5|1758.995|0.017931,3
539,v43_tr_n6_radial_plus__center,train,v43_structure,1|3.5|6|29.9|2.5|1758.995|0.017931,3
539,v43_va_n6_anchor__center,val,v43_structure,1|3.5|6|29.9|2.5|1758.995|0.017931,3
540,v43_tr_n6_anchor_a__low_low,train,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0073285,3
540,v43_tr_n6_radial_minus__low_low,train,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0073285,3
540,v43_tr_n6_radial_plus__low_low,train,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0073285,3
540,v43_va_n6_anchor__low_low,val,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0073285,3
541,v43_tr_n6_anchor_a__high_low,train,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0073285,3
541,v43_tr_n6_radial_minus__high_low,train,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0073285,3
541,v43_tr_n6_radial_plus__high_low,train,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0073285,3
541,v43_va_n6_anchor__high_low,val,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0073285,3
542,v43_tr_n6_anchor_a__low_high,train,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0405195,3
542,v43_tr_n6_radial_minus__low_high,train,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0405195,3
542,v43_tr_n6_radial_plus__low_high,train,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0405195,3
542,v43_va_n6_anchor__low_high,val,v43_structure,1|3.5|6|29.9|2.5|1141.205|0.0405195,3
543,v43_tr_n6_anchor_a__high_high,train,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0405195,3
543,v43_tr_n6_radial_minus__high_high,train,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0405195,3
543,v43_tr_n6_radial_plus__high_high,train,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0405195,3
543,v43_va_n6_anchor__high_high,val,v43_structure,1|3.5|6|29.9|2.5|2409.13|0.0405195,3
559,v43_tr_n6_width_minus__center,train,v43_structure,0.975|3.5|6|29.9|2.5|1758.995|0.017931,2
559,v43_tr_n6_height_minus__center,train,v43_structure,0.975|3.5|6|29.9|2.5|1758.995|0.017931,2
560,v43_tr_n6_width_minus__low_low,train,v43_structure,0.975|3.5|6|29.9|2.5|1141.205|0.0073285,2
560,v43_tr_n6_height_minus__low_low,train,v43_structure,0.975|3.5|6|29.9|2.5|1141.205|0.0073285,2
561,v43_tr_n6_width_minus__high_low,train,v43_structure,0.975|3.5|6|29.9|2.5|2409.13|0.0073285,2
561,v43_tr_n6_height_minus__high_low,train,v43_structure,0.975|3.5|6|29.9|2.5|2409.13|0.0073285,2
562,v43_tr_n6_width_minus__low_high,train,v43_structure,0.975|3.5|6|29.9|2.5|1141.205|0.0405195,2
562,v43_tr_n6_height_minus__low_high,train,v43_structure,0.975|3.5|6|29.9|2.5|1141.205|0.0405195,2
563,v43_tr_n6_width_minus__high_high,train,v43_structure,0.975|3.5|6|29.9|2.5|2409.13|0.0405195,2
563,v43_tr_n6_height_minus__high_high,train,v43_structure,0.975|3.5|6|29.9|2.5|2409.13|0.0405195,2
564,v43_tr_n6_width_plus__center,train,v43_structure,1.025|3.5|6|29.9|2.5|1758.995|0.017931,2
564,v43_tr_n6_height_plus__center,train,v43_structure,1.025|3.5|6|29.9|2.5|1758.995|0.017931,2
565,v43_tr_n6_width_plus__low_low,train,v43_structure,1.025|3.5|6|29.9|2.5|1141.205|0.0073285,2
565,v43_tr_n6_height_plus__low_low,train,v43_structure,1.025|3.5|6|29.9|2.5|1141.205|0.0073285,2
566,v43_tr_n6_width_plus__high_low,train,v43_structure,1.025|3.5|6|29.9|2.5|2409.13|0.0073285,2
566,v43_tr_n6_height_plus__high_low,train,v43_structure,1.025|3.5|6|29.9|2.5|2409.13|0.0073285,2
567,v43_tr_n6_width_plus__low_high,train,v43_structure,1.025|3.5|6|29.9|2.5|1141.205|0.0405195,2
567,v43_tr_n6_height_plus__low_high,train,v43_structure,1.025|3.5|6|29.9|2.5|1141.205|0.0405195,2
568,v43_tr_n6_width_plus__high_high,train,v43_structure,1.025|3.5|6|29.9|2.5|2409.13|0.0405195,2
568,v43_tr_n6_height_plus__high_high,train,v43_structure,1.025|3.5|6|29.9|2.5|2409.13|0.0405195,2
