source_dataset,case_id,base_case_id,split_group,source_split,operation_id,axis,pp,pp0,llcoil,rrc,nncoil,rrce,zzc,fields_npz,structure_npz
legacy_stage4,case_g010_op05,case_g010,case_g010,train,op05,0.0,1954.307,0.052366,1.1905,5.6347,3.0,25.2853,0.6686,fields/case_g010_op05.npz,structure_features/case_g010_op05.npz
legacy_stage4,case_g010_op06,case_g010,case_g010,train,op06,0.0,2497.882,0.003747,1.1905,5.6347,3.0,25.2853,0.6686,fields/case_g010_op06.npz,structure_features/case_g010_op06.npz
legacy_stage4,case_g011_op01,case_g011,case_g011,train,op01,0.0,786.667,0.003414,1.2037,7.1533,5.0,20.6227,0.3507,fields/case_g011_op01.npz,structure_features/case_g011_op01.npz
legacy_stage4,case_g011_op02,case_g011,case_g011,train,op02,0.0,2977.218,0.054394,1.2037,7.1533,5.0,20.6227,0.3507,fields/case_g011_op02.npz,structure_features/case_g011_op02.npz
legacy_stage4,case_g011_op03,case_g011,case_g011,train,op03,0.0,2432.559,0.06245,1.2037,7.1533,5.0,20.6227,0.3507,fields/case_g011_op03.npz,structure_features/case_g011_op03.npz
legacy_stage4,case_g011_op04,case_g011,case_g011,train,op04,0.0,1211.841,0.020751,1.2037,7.1533,5.0,20.6227,0.3507,fields/case_g011_op04.npz,structure_features/case_g011_op04.npz
legacy_stage4,case_g011_op05,case_g011,case_g011,train,op05,0.0,1411.908,0.007382,1.2037,7.1533,5.0,20.6227,0.3507,fields/case_g011_op05.npz,structure_features/case_g011_op05.npz
legacy_stage4,case_g011_op06,case_g011,case_g011,train,op06,0.0,1851.359,0.011925,1.2037,7.1533,5.0,20.6227,0.3507,fields/case_g011_op06.npz,structure_features/case_g011_op06.npz
legacy_stage4,case_g012_op02,case_g012,case_g012,train,op02,0.0,2570.373,0.046821,0.8325,7.4265,2.0,29.8473,3.544,fields/case_g012_op02.npz,structure_features/case_g012_op02.npz
legacy_stage4,case_g012_op03,case_g012,case_g012,train,op03,0.0,785.058,0.074151,0.8325,7.4265,2.0,29.8473,3.544,fields/case_g012_op03.npz,structure_features/case_g012_op03.npz
legacy_stage4,case_g012_op04,case_g012,case_g012,train,op04,0.0,922.949,0.022467,0.8325,7.4265,2.0,29.8473,3.544,fields/case_g012_op04.npz,structure_features/case_g012_op04.npz
legacy_stage4,case_g012_op05,case_g012,case_g012,train,op05,0.0,2659.983,0.01534,0.8325,7.4265,2.0,29.8473,3.544,fields/case_g012_op05.npz,structure_features/case_g012_op05.npz
legacy_stage4,case_g012_op06,case_g012,case_g012,train,op06,0.0,1817.036,0.008216,0.8325,7.4265,2.0,29.8473,3.544,fields/case_g012_op06.npz,structure_features/case_g012_op06.npz
legacy_stage4,case_g013_op01,case_g013,case_g013,train,op01,0.0,2581.908,0.021504,0.586,9.7999,6.0,24.9477,2.9606,fields/case_g013_op01.npz,structure_features/case_g013_op01.npz
legacy_stage4,case_g013_op02,case_g013,case_g013,train,op02,0.0,1159.565,0.043038,0.586,9.7999,6.0,24.9477,2.9606,fields/case_g013_op02.npz,structure_features/case_g013_op02.npz
legacy_stage4,case_g013_op03,case_g013,case_g013,train,op03,0.0,1504.147,0.00806,0.586,9.7999,6.0,24.9477,2.9606,fields/case_g013_op03.npz,structure_features/case_g013_op03.npz
legacy_stage4,case_g013_op04,case_g013,case_g013,train,op04,0.0,781.925,0.079699,0.586,9.7999,6.0,24.9477,2.9606,fields/case_g013_op04.npz,structure_features/case_g013_op04.npz
legacy_stage4,case_g013_op05,case_g013,case_g013,train,op05,0.0,2129.261,0.010236,0.586,9.7999,6.0,24.9477,2.9606,fields/case_g013_op05.npz,structure_features/case_g013_op05.npz
legacy_stage4,case_g013_op06,case_g013,case_g013,train,op06,0.0,2839.725,0.004884,0.586,9.7999,6.0,24.9477,2.9606,fields/case_g013_op06.npz,structure_features/case_g013_op06.npz
legacy_stage4,case_g014_op01,case_g014,case_g014,test,op01,0.0,2215.74,0.008922,0.8971,7.5881,5.0,21.2997,2.8605,fields/case_g014_op01.npz,structure_features/case_g014_op01.npz
legacy_stage4,case_g014_op02,case_g014,case_g014,test,op02,0.0,2890.047,0.015543,0.8971,7.5881,5.0,21.2997,2.8605,fields/case_g014_op02.npz,structure_features/case_g014_op02.npz
legacy_stage4,case_g014_op03,case_g014,case_g014,test,op03,0.0,755.716,0.036879,0.8971,7.5881,5.0,21.2997,2.8605,fields/case_g014_op03.npz,structure_features/case_g014_op03.npz
legacy_stage4,case_g014_op04,case_g014,case_g014,test,op04,0.0,1404.541,0.004454,0.8971,7.5881,5.0,21.2997,2.8605,fields/case_g014_op04.npz,structure_features/case_g014_op04.npz
legacy_stage4,case_g014_op05,case_g014,case_g014,test,op05,0.0,1992.414,0.026482,0.8971,7.5881,5.0,21.2997,2.8605,fields/case_g014_op05.npz,structure_features/case_g014_op05.npz
legacy_stage4,case_g014_op06,case_g014,case_g014,test,op06,0.0,1094.375,0.081995,0.8971,7.5881,5.0,21.2997,2.8605,fields/case_g014_op06.npz,structure_features/case_g014_op06.npz
legacy_stage4,case_g015_op01,case_g015,case_g015,train,op01,0.0,952.48,0.01585,0.6757,6.8195,4.0,25.6039,2.0429,fields/case_g015_op01.npz,structure_features/case_g015_op01.npz
legacy_stage4,case_g015_op02,case_g015,case_g015,train,op02,0.0,1651.975,0.003884,0.6757,6.8195,4.0,25.6039,2.0429,fields/case_g015_op02.npz,structure_features/case_g015_op02.npz
legacy_stage4,case_g015_op03,case_g015,case_g015,train,op03,0.0,2712.684,0.069718,0.6757,6.8195,4.0,25.6039,2.0429,fields/case_g015_op03.npz,structure_features/case_g015_op03.npz
legacy_stage4,case_g015_op04,case_g015,case_g015,train,op04,0.0,2189.677,0.042818,0.6757,6.8195,4.0,25.6039,2.0429,fields/case_g015_op04.npz,structure_features/case_g015_op04.npz
legacy_stage4,case_g015_op05,case_g015,case_g015,train,op05,0.0,629.192,0.00553,0.6757,6.8195,4.0,25.6039,2.0429,fields/case_g015_op05.npz,structure_features/case_g015_op05.npz
legacy_stage4,case_g015_op06,case_g015,case_g015,train,op06,0.0,1984.31,0.022501,0.6757,6.8195,4.0,25.6039,2.0429,fields/case_g015_op06.npz,structure_features/case_g015_op06.npz
legacy_stage4,case_g016_op01,case_g016,case_g016,train,op01,0.0,554.54,0.098504,1.4219,6.3873,2.0,23.3846,2.126,fields/case_g016_op01.npz,structure_features/case_g016_op01.npz
legacy_stage4,case_g016_op02,case_g016,case_g016,train,op02,0.0,2951.916,0.014714,1.4219,6.3873,2.0,23.3846,2.126,fields/case_g016_op02.npz,structure_features/case_g016_op02.npz
legacy_stage4,case_g016_op03,case_g016,case_g016,train,op03,0.0,1224.656,0.031988,1.4219,6.3873,2.0,23.3846,2.126,fields/case_g016_op03.npz,structure_features/case_g016_op03.npz
legacy_stage4,case_g016_op04,case_g016,case_g016,train,op04,0.0,1776.493,0.006051,1.4219,6.3873,2.0,23.3846,2.126,fields/case_g016_op04.npz,structure_features/case_g016_op04.npz
legacy_stage4,case_g016_op05,case_g016,case_g016,train,op05,0.0,1495.217,0.01891,1.4219,6.3873,2.0,23.3846,2.126,fields/case_g016_op05.npz,structure_features/case_g016_op05.npz
legacy_stage4,case_g016_op06,case_g016,case_g016,train,op06,0.0,2326.342,0.003006,1.4219,6.3873,2.0,23.3846,2.126,fields/case_g016_op06.npz,structure_features/case_g016_op06.npz
legacy_stage4,case_g017_op01,case_g017,case_g017,train,op01,0.0,731.331,0.037275,1.0617,2.6982,3.0,27.4963,3.1409,fields/case_g017_op01.npz,structure_features/case_g017_op01.npz
legacy_stage4,case_g017_op02,case_g017,case_g017,train,op02,0.0,1698.217,0.026894,1.0617,2.6982,3.0,27.4963,3.1409,fields/case_g017_op02.npz,structure_features/case_g017_op02.npz
legacy_stage4,case_g017_op03,case_g017,case_g017,train,op03,0.0,1330.552,0.016079,1.0617,2.6982,3.0,27.4963,3.1409,fields/case_g017_op03.npz,structure_features/case_g017_op03.npz
legacy_stage4,case_g017_op04,case_g017,case_g017,train,op04,0.0,2589.425,0.006824,1.0617,2.6982,3.0,27.4963,3.1409,fields/case_g017_op04.npz,structure_features/case_g017_op04.npz
legacy_stage4,case_g017_op05,case_g017,case_g017,train,op05,0.0,1941.943,0.004278,1.0617,2.6982,3.0,27.4963,3.1409,fields/case_g017_op05.npz,structure_features/case_g017_op05.npz
legacy_stage4,case_g017_op06,case_g017,case_g017,train,op06,0.0,2184.368,0.088111,1.0617,2.6982,3.0,27.4963,3.1409,fields/case_g017_op06.npz,structure_features/case_g017_op06.npz
legacy_stage4,case_g018_op01,case_g018,case_g018,train,op01,0.0,2819.523,0.039754,1.1482,6.2389,3.0,26.0867,0.2423,fields/case_g018_op01.npz,structure_features/case_g018_op01.npz
legacy_stage4,case_g018_op02,case_g018,case_g018,train,op02,0.0,2082.427,0.010455,1.1482,6.2389,3.0,26.0867,0.2423,fields/case_g018_op02.npz,structure_features/case_g018_op02.npz
legacy_stage4,case_g018_op03,case_g018,case_g018,train,op03,0.0,2424.654,0.00425,1.1482,6.2389,3.0,26.0867,0.2423,fields/case_g018_op03.npz,structure_features/case_g018_op03.npz
legacy_stage4,case_g018_op04,case_g018,case_g018,train,op04,0.0,1532.034,0.00891,1.1482,6.2389,3.0,26.0867,0.2423,fields/case_g018_op04.npz,structure_features/case_g018_op04.npz
legacy_stage4,case_g018_op05,case_g018,case_g018,train,op05,0.0,1303.221,0.019698,1.1482,6.2389,3.0,26.0867,0.2423,fields/case_g018_op05.npz,structure_features/case_g018_op05.npz
legacy_stage4,case_g018_op06,case_g018,case_g018,train,op06,0.0,681.957,0.090135,1.1482,6.2389,3.0,26.0867,0.2423,fields/case_g018_op06.npz,structure_features/case_g018_op06.npz
legacy_stage4,case_g019_op01,case_g019,case_g019,test,op01,0.0,2192.543,0.095287,0.7812,2.9485,3.0,25.8921,3.6025,fields/case_g019_op01.npz,structure_features/case_g019_op01.npz
legacy_stage4,case_g019_op02,case_g019,case_g019,test,op02,0.0,1453.024,0.029932,0.7812,2.9485,3.0,25.8921,3.6025,fields/case_g019_op02.npz,structure_features/case_g019_op02.npz
legacy_stage4,case_g019_op03,case_g019,case_g019,test,op03,0.0,1051.527,0.011824,0.7812,2.9485,3.0,25.8921,3.6025,fields/case_g019_op03.npz,structure_features/case_g019_op03.npz
legacy_stage4,case_g019_op04,case_g019,case_g019,test,op04,0.0,1870.008,0.051809,0.7812,2.9485,3.0,25.8921,3.6025,fields/case_g019_op04.npz,structure_features/case_g019_op04.npz
legacy_stage4,case_g019_op05,case_g019,case_g019,test,op05,0.0,826.545,0.006203,0.7812,2.9485,3.0,25.8921,3.6025,fields/case_g019_op05.npz,structure_features/case_g019_op05.npz
legacy_stage4,case_g019_op06,case_g019,case_g019,test,op06,0.0,2785.645,0.004736,0.7812,2.9485,3.0,25.8921,3.6025,fields/case_g019_op06.npz,structure_features/case_g019_op06.npz
legacy_stage4,case_g020_op01,case_g020,case_g020,test,op01,0.0,1747.712,0.012898,1.4857,2.9051,3.0,26.4683,1.2596,fields/case_g020_op01.npz,structure_features/case_g020_op01.npz
legacy_stage4,case_g020_op02,case_g020,case_g020,test,op02,0.0,2915.701,0.092036,1.4857,2.9051,3.0,26.4683,1.2596,fields/case_g020_op02.npz,structure_features/case_g020_op02.npz
legacy_stage4,case_g020_op03,case_g020,case_g020,test,op03,0.0,762.282,0.040396,1.4857,2.9051,3.0,26.4683,1.2596,fields/case_g020_op03.npz,structure_features/case_g020_op03.npz
legacy_stage4,case_g020_op04,case_g020,case_g020,test,op04,0.0,2250.678,0.028844,1.4857,2.9051,3.0,26.4683,1.2596,fields/case_g020_op04.npz,structure_features/case_g020_op04.npz
legacy_stage4,case_g020_op05,case_g020,case_g020,test,op05,0.0,1002.493,0.003945,1.4857,2.9051,3.0,26.4683,1.2596,fields/case_g020_op05.npz,structure_features/case_g020_op05.npz
legacy_stage4,case_g020_op06,case_g020,case_g020,test,op06,0.0,1758.995,0.00607,1.4857,2.9051,3.0,26.4683,1.2596,fields/case_g020_op06.npz,structure_features/case_g020_op06.npz
legacy_stage4,case_g021_op01,case_g021,case_g021,train,op01,0.0,1228.741,0.030524,0.7271,2.5039,4.0,28.2794,4.4232,fields/case_g021_op01.npz,structure_features/case_g021_op01.npz
legacy_stage4,case_g021_op02,case_g021,case_g021,train,op02,0.0,1959.972,0.004417,0.7271,2.5039,4.0,28.2794,4.4232,fields/case_g021_op02.npz,structure_features/case_g021_op02.npz
legacy_stage4,case_g021_op03,case_g021,case_g021,train,op03,0.0,2324.939,0.083374,0.7271,2.5039,4.0,28.2794,4.4232,fields/case_g021_op03.npz,structure_features/case_g021_op03.npz
legacy_stage4,case_g021_op04,case_g021,case_g021,train,op04,0.0,1347.895,0.006347,0.7271,2.5039,4.0,28.2794,4.4232,fields/case_g021_op04.npz,structure_features/case_g021_op04.npz
legacy_stage4,case_g021_op05,case_g021,case_g021,train,op05,0.0,2704.832,0.014323,0.7271,2.5039,4.0,28.2794,4.4232,fields/case_g021_op05.npz,structure_features/case_g021_op05.npz
legacy_stage4,case_g021_op06,case_g021,case_g021,train,op06,0.0,586.464,0.051862,0.7271,2.5039,4.0,28.2794,4.4232,fields/case_g021_op06.npz,structure_features/case_g021_op06.npz
legacy_stage4,case_g022_op01,case_g022,case_g022,train,op01,0.0,1852.433,0.047827,1.0737,9.1209,6.0,23.5575,2.5955,fields/case_g022_op01.npz,structure_features/case_g022_op01.npz
legacy_stage4,case_g022_op02,case_g022,case_g022,train,op02,0.0,2564.625,0.093193,1.0737,9.1209,6.0,23.5575,2.5955,fields/case_g022_op02.npz,structure_features/case_g022_op02.npz
legacy_stage4,case_g022_op03,case_g022,case_g022,train,op03,0.0,734.287,0.01046,1.0737,9.1209,6.0,23.5575,2.5955,fields/case_g022_op03.npz,structure_features/case_g022_op03.npz
legacy_stage4,case_g022_op04,case_g022,case_g022,train,op04,0.0,1510.091,0.00796,1.0737,9.1209,6.0,23.5575,2.5955,fields/case_g022_op04.npz,structure_features/case_g022_op04.npz
legacy_stage4,case_g022_op05,case_g022,case_g022,train,op05,0.0,2999.798,0.00444,1.0737,9.1209,6.0,23.5575,2.5955,fields/case_g022_op05.npz,structure_features/case_g022_op05.npz
legacy_stage4,case_g022_op06,case_g022,case_g022,train,op06,0.0,1108.979,0.022248,1.0737,9.1209,6.0,23.5575,2.5955,fields/case_g022_op06.npz,structure_features/case_g022_op06.npz
legacy_stage4,case_g023_op01,case_g023,case_g023,test,op01,0.0,702.374,0.008296,0.9982,7.949,3.0,20.9332,3.2936,fields/case_g023_op01.npz,structure_features/case_g023_op01.npz
legacy_stage4,case_g023_op02,case_g023,case_g023,test,op02,0.0,1831.375,0.005235,0.9982,7.949,3.0,20.9332,3.2936,fields/case_g023_op02.npz,structure_features/case_g023_op02.npz
legacy_stage4,case_g023_op03,case_g023,case_g023,test,op03,0.0,1467.423,0.05646,0.9982,7.949,3.0,20.9332,3.2936,fields/case_g023_op03.npz,structure_features/case_g023_op03.npz
legacy_stage4,case_g023_op04,case_g023,case_g023,test,op04,0.0,2650.91,0.021963,0.9982,7.949,3.0,20.9332,3.2936,fields/case_g023_op04.npz,structure_features/case_g023_op04.npz
legacy_stage4,case_g023_op05,case_g023,case_g023,test,op05,0.0,2429.099,0.031822,0.9982,7.949,3.0,20.9332,3.2936,fields/case_g023_op05.npz,structure_features/case_g023_op05.npz
legacy_stage4,case_g023_op06,case_g023,case_g023,test,op06,0.0,1157.832,0.012115,0.9982,7.949,3.0,20.9332,3.2936,fields/case_g023_op06.npz,structure_features/case_g023_op06.npz
legacy_stage4,case_g024_op01,case_g024,case_g024,train,op01,0.0,1035.483,0.042461,0.8752,8.4834,3.0,26.5261,4.3349,fields/case_g024_op01.npz,structure_features/case_g024_op01.npz
legacy_stage4,case_g024_op02,case_g024,case_g024,train,op02,0.0,515.151,0.009398,0.8752,8.4834,3.0,26.5261,4.3349,fields/case_g024_op02.npz,structure_features/case_g024_op02.npz
legacy_stage4,case_g024_op03,case_g024,case_g024,train,op03,0.0,2636.835,0.030114,0.8752,8.4834,3.0,26.5261,4.3349,fields/case_g024_op03.npz,structure_features/case_g024_op03.npz
