case_id,layout_id,design_family_id,split,stage,layout_kind,operation_id,legacy_dimension_representable,coil_layout_csv
v43_tr_n2_radial_plus__high_high,v43_tr_n2_radial_plus,train_fixed_n2,train,G1,single_coil_radial_shift_plus,high_high,1,structure/coil_layout/v43_tr_n2_radial_plus__high_high__coil_layout.csv
v43_tr_n2_vertical_minus__center,v43_tr_n2_vertical_minus,train_fixed_n2,train,G1,single_coil_vertical_shift_minus,center,0,structure/coil_layout/v43_tr_n2_vertical_minus__center__coil_layout.csv
v43_tr_n2_vertical_minus__low_low,v43_tr_n2_vertical_minus,train_fixed_n2,train,G1,single_coil_vertical_shift_minus,low_low,0,structure/coil_layout/v43_tr_n2_vertical_minus__low_low__coil_layout.csv
v43_tr_n2_vertical_minus__high_low,v43_tr_n2_vertical_minus,train_fixed_n2,train,G1,single_coil_vertical_shift_minus,high_low,0,structure/coil_layout/v43_tr_n2_vertical_minus__high_low__coil_layout.csv
v43_tr_n2_vertical_minus__low_high,v43_tr_n2_vertical_minus,train_fixed_n2,train,G1,single_coil_vertical_shift_minus,low_high,0,structure/coil_layout/v43_tr_n2_vertical_minus__low_high__coil_layout.csv
v43_tr_n2_vertical_minus__high_high,v43_tr_n2_vertical_minus,train_fixed_n2,train,G1,single_coil_vertical_shift_minus,high_high,0,structure/coil_layout/v43_tr_n2_vertical_minus__high_high__coil_layout.csv
v43_tr_n2_vertical_plus__center,v43_tr_n2_vertical_plus,train_fixed_n2,train,G1,single_coil_vertical_shift_plus,center,0,structure/coil_layout/v43_tr_n2_vertical_plus__center__coil_layout.csv
v43_tr_n2_vertical_plus__low_low,v43_tr_n2_vertical_plus,train_fixed_n2,train,G1,single_coil_vertical_shift_plus,low_low,0,structure/coil_layout/v43_tr_n2_vertical_plus__low_low__coil_layout.csv
v43_tr_n2_vertical_plus__high_low,v43_tr_n2_vertical_plus,train_fixed_n2,train,G1,single_coil_vertical_shift_plus,high_low,0,structure/coil_layout/v43_tr_n2_vertical_plus__high_low__coil_layout.csv
v43_tr_n2_vertical_plus__low_high,v43_tr_n2_vertical_plus,train_fixed_n2,train,G1,single_coil_vertical_shift_plus,low_high,0,structure/coil_layout/v43_tr_n2_vertical_plus__low_high__coil_layout.csv
v43_tr_n2_vertical_plus__high_high,v43_tr_n2_vertical_plus,train_fixed_n2,train,G1,single_coil_vertical_shift_plus,high_high,0,structure/coil_layout/v43_tr_n2_vertical_plus__high_high__coil_layout.csv
v43_tr_n2_width_minus__center,v43_tr_n2_width_minus,train_fixed_n2,train,G1,single_coil_radial_width_minus,center,0,structure/coil_layout/v43_tr_n2_width_minus__center__coil_layout.csv
v43_tr_n2_width_minus__low_low,v43_tr_n2_width_minus,train_fixed_n2,train,G1,single_coil_radial_width_minus,low_low,0,structure/coil_layout/v43_tr_n2_width_minus__low_low__coil_layout.csv
v43_tr_n2_width_minus__high_low,v43_tr_n2_width_minus,train_fixed_n2,train,G1,single_coil_radial_width_minus,high_low,0,structure/coil_layout/v43_tr_n2_width_minus__high_low__coil_layout.csv
v43_tr_n2_width_minus__low_high,v43_tr_n2_width_minus,train_fixed_n2,train,G1,single_coil_radial_width_minus,low_high,0,structure/coil_layout/v43_tr_n2_width_minus__low_high__coil_layout.csv
v43_tr_n2_width_minus__high_high,v43_tr_n2_width_minus,train_fixed_n2,train,G1,single_coil_radial_width_minus,high_high,0,structure/coil_layout/v43_tr_n2_width_minus__high_high__coil_layout.csv
v43_tr_n2_width_plus__center,v43_tr_n2_width_plus,train_fixed_n2,train,G1,single_coil_radial_width_plus,center,0,structure/coil_layout/v43_tr_n2_width_plus__center__coil_layout.csv
v43_tr_n2_width_plus__low_low,v43_tr_n2_width_plus,train_fixed_n2,train,G1,single_coil_radial_width_plus,low_low,0,structure/coil_layout/v43_tr_n2_width_plus__low_low__coil_layout.csv
v43_tr_n2_width_plus__high_low,v43_tr_n2_width_plus,train_fixed_n2,train,G1,single_coil_radial_width_plus,high_low,0,structure/coil_layout/v43_tr_n2_width_plus__high_low__coil_layout.csv
v43_tr_n2_width_plus__low_high,v43_tr_n2_width_plus,train_fixed_n2,train,G1,single_coil_radial_width_plus,low_high,0,structure/coil_layout/v43_tr_n2_width_plus__low_high__coil_layout.csv
v43_tr_n2_width_plus__high_high,v43_tr_n2_width_plus,train_fixed_n2,train,G1,single_coil_radial_width_plus,high_high,0,structure/coil_layout/v43_tr_n2_width_plus__high_high__coil_layout.csv
v43_tr_n2_height_minus__center,v43_tr_n2_height_minus,train_fixed_n2,train,G1,single_coil_axial_height_minus,center,0,structure/coil_layout/v43_tr_n2_height_minus__center__coil_layout.csv
v43_tr_n2_height_minus__low_low,v43_tr_n2_height_minus,train_fixed_n2,train,G1,single_coil_axial_height_minus,low_low,0,structure/coil_layout/v43_tr_n2_height_minus__low_low__coil_layout.csv
v43_tr_n2_height_minus__high_low,v43_tr_n2_height_minus,train_fixed_n2,train,G1,single_coil_axial_height_minus,high_low,0,structure/coil_layout/v43_tr_n2_height_minus__high_low__coil_layout.csv
v43_tr_n2_height_minus__low_high,v43_tr_n2_height_minus,train_fixed_n2,train,G1,single_coil_axial_height_minus,low_high,0,structure/coil_layout/v43_tr_n2_height_minus__low_high__coil_layout.csv
v43_tr_n2_height_minus__high_high,v43_tr_n2_height_minus,train_fixed_n2,train,G1,single_coil_axial_height_minus,high_high,0,structure/coil_layout/v43_tr_n2_height_minus__high_high__coil_layout.csv
v43_tr_n2_height_plus__center,v43_tr_n2_height_plus,train_fixed_n2,train,G1,single_coil_axial_height_plus,center,0,structure/coil_layout/v43_tr_n2_height_plus__center__coil_layout.csv
v43_tr_n2_height_plus__low_low,v43_tr_n2_height_plus,train_fixed_n2,train,G1,single_coil_axial_height_plus,low_low,0,structure/coil_layout/v43_tr_n2_height_plus__low_low__coil_layout.csv
v43_tr_n2_height_plus__high_low,v43_tr_n2_height_plus,train_fixed_n2,train,G1,single_coil_axial_height_plus,high_low,0,structure/coil_layout/v43_tr_n2_height_plus__high_low__coil_layout.csv
v43_tr_n2_height_plus__low_high,v43_tr_n2_height_plus,train_fixed_n2,train,G1,single_coil_axial_height_plus,low_high,0,structure/coil_layout/v43_tr_n2_height_plus__low_high__coil_layout.csv
v43_tr_n2_height_plus__high_high,v43_tr_n2_height_plus,train_fixed_n2,train,G1,single_coil_axial_height_plus,high_high,0,structure/coil_layout/v43_tr_n2_height_plus__high_high__coil_layout.csv
v43_tr_n2_irregular_a__center,v43_tr_n2_irregular_a,train_fixed_n2,train,G1,maximin_irregular,center,0,structure/coil_layout/v43_tr_n2_irregular_a__center__coil_layout.csv
v43_tr_n2_irregular_a__low_low,v43_tr_n2_irregular_a,train_fixed_n2,train,G1,maximin_irregular,low_low,0,structure/coil_layout/v43_tr_n2_irregular_a__low_low__coil_layout.csv
v43_tr_n2_irregular_a__high_low,v43_tr_n2_irregular_a,train_fixed_n2,train,G1,maximin_irregular,high_low,0,structure/coil_layout/v43_tr_n2_irregular_a__high_low__coil_layout.csv
v43_tr_n2_irregular_a__low_high,v43_tr_n2_irregular_a,train_fixed_n2,train,G1,maximin_irregular,low_high,0,structure/coil_layout/v43_tr_n2_irregular_a__low_high__coil_layout.csv
v43_tr_n2_irregular_a__high_high,v43_tr_n2_irregular_a,train_fixed_n2,train,G1,maximin_irregular,high_high,0,structure/coil_layout/v43_tr_n2_irregular_a__high_high__coil_layout.csv
v43_tr_n2_irregular_b__center,v43_tr_n2_irregular_b,train_fixed_n2,train,G1,maximin_irregular,center,0,structure/coil_layout/v43_tr_n2_irregular_b__center__coil_layout.csv
v43_tr_n2_irregular_b__low_low,v43_tr_n2_irregular_b,train_fixed_n2,train,G1,maximin_irregular,low_low,0,structure/coil_layout/v43_tr_n2_irregular_b__low_low__coil_layout.csv
v43_tr_n2_irregular_b__high_low,v43_tr_n2_irregular_b,train_fixed_n2,train,G1,maximin_irregular,high_low,0,structure/coil_layout/v43_tr_n2_irregular_b__high_low__coil_layout.csv
v43_tr_n2_irregular_b__low_high,v43_tr_n2_irregular_b,train_fixed_n2,train,G1,maximin_irregular,low_high,0,structure/coil_layout/v43_tr_n2_irregular_b__low_high__coil_layout.csv
v43_tr_n2_irregular_b__high_high,v43_tr_n2_irregular_b,train_fixed_n2,train,G1,maximin_irregular,high_high,0,structure/coil_layout/v43_tr_n2_irregular_b__high_high__coil_layout.csv
v43_tr_n3_anchor_a__center,v43_tr_n3_anchor_a,train_fixed_n3,train,G1,regular_anchor,center,1,structure/coil_layout/v43_tr_n3_anchor_a__center__coil_layout.csv
v43_tr_n3_anchor_a__low_low,v43_tr_n3_anchor_a,train_fixed_n3,train,G1,regular_anchor,low_low,1,structure/coil_layout/v43_tr_n3_anchor_a__low_low__coil_layout.csv
v43_tr_n3_anchor_a__high_low,v43_tr_n3_anchor_a,train_fixed_n3,train,G1,regular_anchor,high_low,1,structure/coil_layout/v43_tr_n3_anchor_a__high_low__coil_layout.csv
v43_tr_n3_anchor_a__low_high,v43_tr_n3_anchor_a,train_fixed_n3,train,G1,regular_anchor,low_high,1,structure/coil_layout/v43_tr_n3_anchor_a__low_high__coil_layout.csv
v43_tr_n3_anchor_a__high_high,v43_tr_n3_anchor_a,train_fixed_n3,train,G1,regular_anchor,high_high,1,structure/coil_layout/v43_tr_n3_anchor_a__high_high__coil_layout.csv
v43_tr_n3_anchor_b__center,v43_tr_n3_anchor_b,train_fixed_n3,train,G1,regular_anchor,center,1,structure/coil_layout/v43_tr_n3_anchor_b__center__coil_layout.csv
v43_tr_n3_anchor_b__low_low,v43_tr_n3_anchor_b,train_fixed_n3,train,G1,regular_anchor,low_low,1,structure/coil_layout/v43_tr_n3_anchor_b__low_low__coil_layout.csv
v43_tr_n3_anchor_b__high_low,v43_tr_n3_anchor_b,train_fixed_n3,train,G1,regular_anchor,high_low,1,structure/coil_layout/v43_tr_n3_anchor_b__high_low__coil_layout.csv
v43_tr_n3_anchor_b__low_high,v43_tr_n3_anchor_b,train_fixed_n3,train,G1,regular_anchor,low_high,1,structure/coil_layout/v43_tr_n3_anchor_b__low_high__coil_layout.csv
v43_tr_n3_anchor_b__high_high,v43_tr_n3_anchor_b,train_fixed_n3,train,G1,regular_anchor,high_high,1,structure/coil_layout/v43_tr_n3_anchor_b__high_high__coil_layout.csv
v43_tr_n3_radial_minus__center,v43_tr_n3_radial_minus,train_fixed_n3,train,G1,single_coil_radial_shift_minus,center,0,structure/coil_layout/v43_tr_n3_radial_minus__center__coil_layout.csv
v43_tr_n3_radial_minus__low_low,v43_tr_n3_radial_minus,train_fixed_n3,train,G1,single_coil_radial_shift_minus,low_low,0,structure/coil_layout/v43_tr_n3_radial_minus__low_low__coil_layout.csv
v43_tr_n3_radial_minus__high_low,v43_tr_n3_radial_minus,train_fixed_n3,train,G1,single_coil_radial_shift_minus,high_low,0,structure/coil_layout/v43_tr_n3_radial_minus__high_low__coil_layout.csv
v43_tr_n3_radial_minus__low_high,v43_tr_n3_radial_minus,train_fixed_n3,train,G1,single_coil_radial_shift_minus,low_high,0,structure/coil_layout/v43_tr_n3_radial_minus__low_high__coil_layout.csv
v43_tr_n3_radial_minus__high_high,v43_tr_n3_radial_minus,train_fixed_n3,train,G1,single_coil_radial_shift_minus,high_high,0,structure/coil_layout/v43_tr_n3_radial_minus__high_high__coil_layout.csv
v43_tr_n3_radial_plus__center,v43_tr_n3_radial_plus,train_fixed_n3,train,G1,single_coil_radial_shift_plus,center,0,structure/coil_layout/v43_tr_n3_radial_plus__center__coil_layout.csv
v43_tr_n3_radial_plus__low_low,v43_tr_n3_radial_plus,train_fixed_n3,train,G1,single_coil_radial_shift_plus,low_low,0,structure/coil_layout/v43_tr_n3_radial_plus__low_low__coil_layout.csv
v43_tr_n3_radial_plus__high_low,v43_tr_n3_radial_plus,train_fixed_n3,train,G1,single_coil_radial_shift_plus,high_low,0,structure/coil_layout/v43_tr_n3_radial_plus__high_low__coil_layout.csv
v43_tr_n3_radial_plus__low_high,v43_tr_n3_radial_plus,train_fixed_n3,train,G1,single_coil_radial_shift_plus,low_high,0,structure/coil_layout/v43_tr_n3_radial_plus__low_high__coil_layout.csv
v43_tr_n3_radial_plus__high_high,v43_tr_n3_radial_plus,train_fixed_n3,train,G1,single_coil_radial_shift_plus,high_high,0,structure/coil_layout/v43_tr_n3_radial_plus__high_high__coil_layout.csv
v43_tr_n3_vertical_minus__center,v43_tr_n3_vertical_minus,train_fixed_n3,train,G1,single_coil_vertical_shift_minus,center,0,structure/coil_layout/v43_tr_n3_vertical_minus__center__coil_layout.csv
v43_tr_n3_vertical_minus__low_low,v43_tr_n3_vertical_minus,train_fixed_n3,train,G1,single_coil_vertical_shift_minus,low_low,0,structure/coil_layout/v43_tr_n3_vertical_minus__low_low__coil_layout.csv
v43_tr_n3_vertical_minus__high_low,v43_tr_n3_vertical_minus,train_fixed_n3,train,G1,single_coil_vertical_shift_minus,high_low,0,structure/coil_layout/v43_tr_n3_vertical_minus__high_low__coil_layout.csv
v43_tr_n3_vertical_minus__low_high,v43_tr_n3_vertical_minus,train_fixed_n3,train,G1,single_coil_vertical_shift_minus,low_high,0,structure/coil_layout/v43_tr_n3_vertical_minus__low_high__coil_layout.csv
v43_tr_n3_vertical_minus__high_high,v43_tr_n3_vertical_minus,train_fixed_n3,train,G1,single_coil_vertical_shift_minus,high_high,0,structure/coil_layout/v43_tr_n3_vertical_minus__high_high__coil_layout.csv
v43_tr_n3_vertical_plus__center,v43_tr_n3_vertical_plus,train_fixed_n3,train,G1,single_coil_vertical_shift_plus,center,0,structure/coil_layout/v43_tr_n3_vertical_plus__center__coil_layout.csv
v43_tr_n3_vertical_plus__low_low,v43_tr_n3_vertical_plus,train_fixed_n3,train,G1,single_coil_vertical_shift_plus,low_low,0,structure/coil_layout/v43_tr_n3_vertical_plus__low_low__coil_layout.csv
v43_tr_n3_vertical_plus__high_low,v43_tr_n3_vertical_plus,train_fixed_n3,train,G1,single_coil_vertical_shift_plus,high_low,0,structure/coil_layout/v43_tr_n3_vertical_plus__high_low__coil_layout.csv
v43_tr_n3_vertical_plus__low_high,v43_tr_n3_vertical_plus,train_fixed_n3,train,G1,single_coil_vertical_shift_plus,low_high,0,structure/coil_layout/v43_tr_n3_vertical_plus__low_high__coil_layout.csv
v43_tr_n3_vertical_plus__high_high,v43_tr_n3_vertical_plus,train_fixed_n3,train,G1,single_coil_vertical_shift_plus,high_high,0,structure/coil_layout/v43_tr_n3_vertical_plus__high_high__coil_layout.csv
v43_tr_n3_width_minus__center,v43_tr_n3_width_minus,train_fixed_n3,train,G1,single_coil_radial_width_minus,center,0,structure/coil_layout/v43_tr_n3_width_minus__center__coil_layout.csv
v43_tr_n3_width_minus__low_low,v43_tr_n3_width_minus,train_fixed_n3,train,G1,single_coil_radial_width_minus,low_low,0,structure/coil_layout/v43_tr_n3_width_minus__low_low__coil_layout.csv
v43_tr_n3_width_minus__high_low,v43_tr_n3_width_minus,train_fixed_n3,train,G1,single_coil_radial_width_minus,high_low,0,structure/coil_layout/v43_tr_n3_width_minus__high_low__coil_layout.csv
v43_tr_n3_width_minus__low_high,v43_tr_n3_width_minus,train_fixed_n3,train,G1,single_coil_radial_width_minus,low_high,0,structure/coil_layout/v43_tr_n3_width_minus__low_high__coil_layout.csv
v43_tr_n3_width_minus__high_high,v43_tr_n3_width_minus,train_fixed_n3,train,G1,single_coil_radial_width_minus,high_high,0,structure/coil_layout/v43_tr_n3_width_minus__high_high__coil_layout.csv
v43_tr_n3_width_plus__center,v43_tr_n3_width_plus,train_fixed_n3,train,G1,single_coil_radial_width_plus,center,0,structure/coil_layout/v43_tr_n3_width_plus__center__coil_layout.csv
v43_tr_n3_width_plus__low_low,v43_tr_n3_width_plus,train_fixed_n3,train,G1,single_coil_radial_width_plus,low_low,0,structure/coil_layout/v43_tr_n3_width_plus__low_low__coil_layout.csv
v43_tr_n3_width_plus__high_low,v43_tr_n3_width_plus,train_fixed_n3,train,G1,single_coil_radial_width_plus,high_low,0,structure/coil_layout/v43_tr_n3_width_plus__high_low__coil_layout.csv
v43_tr_n3_width_plus__low_high,v43_tr_n3_width_plus,train_fixed_n3,train,G1,single_coil_radial_width_plus,low_high,0,structure/coil_layout/v43_tr_n3_width_plus__low_high__coil_layout.csv
v43_tr_n3_width_plus__high_high,v43_tr_n3_width_plus,train_fixed_n3,train,G1,single_coil_radial_width_plus,high_high,0,structure/coil_layout/v43_tr_n3_width_plus__high_high__coil_layout.csv
v43_tr_n3_height_minus__center,v43_tr_n3_height_minus,train_fixed_n3,train,G1,single_coil_axial_height_minus,center,0,structure/coil_layout/v43_tr_n3_height_minus__center__coil_layout.csv
v43_tr_n3_height_minus__low_low,v43_tr_n3_height_minus,train_fixed_n3,train,G1,single_coil_axial_height_minus,low_low,0,structure/coil_layout/v43_tr_n3_height_minus__low_low__coil_layout.csv
v43_tr_n3_height_minus__high_low,v43_tr_n3_height_minus,train_fixed_n3,train,G1,single_coil_axial_height_minus,high_low,0,structure/coil_layout/v43_tr_n3_height_minus__high_low__coil_layout.csv
v43_tr_n3_height_minus__low_high,v43_tr_n3_height_minus,train_fixed_n3,train,G1,single_coil_axial_height_minus,low_high,0,structure/coil_layout/v43_tr_n3_height_minus__low_high__coil_layout.csv
v43_tr_n3_height_minus__high_high,v43_tr_n3_height_minus,train_fixed_n3,train,G1,single_coil_axial_height_minus,high_high,0,structure/coil_layout/v43_tr_n3_height_minus__high_high__coil_layout.csv
v43_tr_n3_height_plus__center,v43_tr_n3_height_plus,train_fixed_n3,train,G1,single_coil_axial_height_plus,center,0,structure/coil_layout/v43_tr_n3_height_plus__center__coil_layout.csv
v43_tr_n3_height_plus__low_low,v43_tr_n3_height_plus,train_fixed_n3,train,G1,single_coil_axial_height_plus,low_low,0,structure/coil_layout/v43_tr_n3_height_plus__low_low__coil_layout.csv
v43_tr_n3_height_plus__high_low,v43_tr_n3_height_plus,train_fixed_n3,train,G1,single_coil_axial_height_plus,high_low,0,structure/coil_layout/v43_tr_n3_height_plus__high_low__coil_layout.csv
v43_tr_n3_height_plus__low_high,v43_tr_n3_height_plus,train_fixed_n3,train,G1,single_coil_axial_height_plus,low_high,0,structure/coil_layout/v43_tr_n3_height_plus__low_high__coil_layout.csv
v43_tr_n3_height_plus__high_high,v43_tr_n3_height_plus,train_fixed_n3,train,G1,single_coil_axial_height_plus,high_high,0,structure/coil_layout/v43_tr_n3_height_plus__high_high__coil_layout.csv
v43_tr_n3_irregular_a__center,v43_tr_n3_irregular_a,train_fixed_n3,train,G1,maximin_irregular,center,0,structure/coil_layout/v43_tr_n3_irregular_a__center__coil_layout.csv
v43_tr_n3_irregular_a__low_low,v43_tr_n3_irregular_a,train_fixed_n3,train,G1,maximin_irregular,low_low,0,structure/coil_layout/v43_tr_n3_irregular_a__low_low__coil_layout.csv
v43_tr_n3_irregular_a__high_low,v43_tr_n3_irregular_a,train_fixed_n3,train,G1,maximin_irregular,high_low,0,structure/coil_layout/v43_tr_n3_irregular_a__high_low__coil_layout.csv
v43_tr_n3_irregular_a__low_high,v43_tr_n3_irregular_a,train_fixed_n3,train,G1,maximin_irregular,low_high,0,structure/coil_layout/v43_tr_n3_irregular_a__low_high__coil_layout.csv
v43_tr_n3_irregular_a__high_high,v43_tr_n3_irregular_a,train_fixed_n3,train,G1,maximin_irregular,high_high,0,structure/coil_layout/v43_tr_n3_irregular_a__high_high__coil_layout.csv
v43_tr_n3_irregular_b__center,v43_tr_n3_irregular_b,train_fixed_n3,train,G1,maximin_irregular,center,0,structure/coil_layout/v43_tr_n3_irregular_b__center__coil_layout.csv
v43_tr_n3_irregular_b__low_low,v43_tr_n3_irregular_b,train_fixed_n3,train,G1,maximin_irregular,low_low,0,structure/coil_layout/v43_tr_n3_irregular_b__low_low__coil_layout.csv
v43_tr_n3_irregular_b__high_low,v43_tr_n3_irregular_b,train_fixed_n3,train,G1,maximin_irregular,high_low,0,structure/coil_layout/v43_tr_n3_irregular_b__high_low__coil_layout.csv
v43_tr_n3_irregular_b__low_high,v43_tr_n3_irregular_b,train_fixed_n3,train,G1,maximin_irregular,low_high,0,structure/coil_layout/v43_tr_n3_irregular_b__low_high__coil_layout.csv
v43_tr_n3_irregular_b__high_high,v43_tr_n3_irregular_b,train_fixed_n3,train,G1,maximin_irregular,high_high,0,structure/coil_layout/v43_tr_n3_irregular_b__high_high__coil_layout.csv
v43_tr_n4_anchor_a__center,v43_tr_n4_anchor_a,train_fixed_n4,train,G1,regular_anchor,center,1,structure/coil_layout/v43_tr_n4_anchor_a__center__coil_layout.csv
v43_tr_n4_anchor_a__low_low,v43_tr_n4_anchor_a,train_fixed_n4,train,G1,regular_anchor,low_low,1,structure/coil_layout/v43_tr_n4_anchor_a__low_low__coil_layout.csv
v43_tr_n4_anchor_a__high_low,v43_tr_n4_anchor_a,train_fixed_n4,train,G1,regular_anchor,high_low,1,structure/coil_layout/v43_tr_n4_anchor_a__high_low__coil_layout.csv
v43_tr_n4_anchor_a__low_high,v43_tr_n4_anchor_a,train_fixed_n4,train,G1,regular_anchor,low_high,1,structure/coil_layout/v43_tr_n4_anchor_a__low_high__coil_layout.csv
v43_tr_n4_anchor_a__high_high,v43_tr_n4_anchor_a,train_fixed_n4,train,G1,regular_anchor,high_high,1,structure/coil_layout/v43_tr_n4_anchor_a__high_high__coil_layout.csv
v43_tr_n4_anchor_b__center,v43_tr_n4_anchor_b,train_fixed_n4,train,G1,regular_anchor,center,1,structure/coil_layout/v43_tr_n4_anchor_b__center__coil_layout.csv
v43_tr_n4_anchor_b__low_low,v43_tr_n4_anchor_b,train_fixed_n4,train,G1,regular_anchor,low_low,1,structure/coil_layout/v43_tr_n4_anchor_b__low_low__coil_layout.csv
v43_tr_n4_anchor_b__high_low,v43_tr_n4_anchor_b,train_fixed_n4,train,G1,regular_anchor,high_low,1,structure/coil_layout/v43_tr_n4_anchor_b__high_low__coil_layout.csv
v43_tr_n4_anchor_b__low_high,v43_tr_n4_anchor_b,train_fixed_n4,train,G1,regular_anchor,low_high,1,structure/coil_layout/v43_tr_n4_anchor_b__low_high__coil_layout.csv
v43_tr_n4_anchor_b__high_high,v43_tr_n4_anchor_b,train_fixed_n4,train,G1,regular_anchor,high_high,1,structure/coil_layout/v43_tr_n4_anchor_b__high_high__coil_layout.csv
v43_tr_n4_radial_minus__center,v43_tr_n4_radial_minus,train_fixed_n4,train,G1,single_coil_radial_shift_minus,center,0,structure/coil_layout/v43_tr_n4_radial_minus__center__coil_layout.csv
v43_tr_n4_radial_minus__low_low,v43_tr_n4_radial_minus,train_fixed_n4,train,G1,single_coil_radial_shift_minus,low_low,0,structure/coil_layout/v43_tr_n4_radial_minus__low_low__coil_layout.csv
v43_tr_n4_radial_minus__high_low,v43_tr_n4_radial_minus,train_fixed_n4,train,G1,single_coil_radial_shift_minus,high_low,0,structure/coil_layout/v43_tr_n4_radial_minus__high_low__coil_layout.csv
v43_tr_n4_radial_minus__low_high,v43_tr_n4_radial_minus,train_fixed_n4,train,G1,single_coil_radial_shift_minus,low_high,0,structure/coil_layout/v43_tr_n4_radial_minus__low_high__coil_layout.csv
v43_tr_n4_radial_minus__high_high,v43_tr_n4_radial_minus,train_fixed_n4,train,G1,single_coil_radial_shift_minus,high_high,0,structure/coil_layout/v43_tr_n4_radial_minus__high_high__coil_layout.csv
v43_tr_n4_radial_plus__center,v43_tr_n4_radial_plus,train_fixed_n4,train,G1,single_coil_radial_shift_plus,center,0,structure/coil_layout/v43_tr_n4_radial_plus__center__coil_layout.csv
v43_tr_n4_radial_plus__low_low,v43_tr_n4_radial_plus,train_fixed_n4,train,G1,single_coil_radial_shift_plus,low_low,0,structure/coil_layout/v43_tr_n4_radial_plus__low_low__coil_layout.csv
